"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"20","@verge lol",FALSE,1985,"verge",2020-04-15 17:13:56,FALSE,"1250471676384600067","1250472438200242177","275686563","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",43,FALSE,FALSE,NA,NA
"21","@tldtoday Because of the price? What about iPhone 12? <U+0001F605> What if the Fold 2 is amazing? What if the Pixel 5 makes a… https://t.co/Op1fnaB8ug",FALSE,4294,"tldtoday",2020-04-15 17:02:46,TRUE,"1250464396117041153","1250469629128040449","126124275","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MKBHD",106,FALSE,FALSE,NA,NA
"22","@r3dash @gizmoddict @technolobeYT Definitely was never asked. Some channels just... do it anyway",FALSE,350,"r3dash",2020-04-15 16:13:54,FALSE,"1250456738592985090","1250457331936174081","106728983","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",9,FALSE,FALSE,NA,NA
"23","@theMrMobile @macmixing @backlon I still have mine! @ZacksJerryRig",FALSE,514,"theMrMobile",2020-04-15 15:32:37,FALSE,"1250445829929926657","1250446941768617984","380783806","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",8,FALSE,FALSE,NA,NA
"24","We live in a world where a brand new iPhone is undercutting every single phone OnePlus has released this year in price",FALSE,41073,NA,2020-04-15 15:08:29,FALSE,NA,"1250440868214931464",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",3450,FALSE,FALSE,NA,NA
"25","We live in a world where the “new” 4.7” iPhone SE (same exact size as an iPhone 8) qualifies for best compact phone of the year.",FALSE,22391,NA,2020-04-15 15:06:00,FALSE,NA,"1250440242659618818",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",1516,FALSE,FALSE,NA,NA
"26","The rumors are finally confirmed:

iPhone SE 2020 (2ND GEN)
4.7"" Retina HD display
A13 Bionic
Single 12MP camera
Po… https://t.co/wZO8eydnLw",FALSE,34736,NA,2020-04-15 15:00:16,TRUE,NA,"1250438797872877568",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",7814,FALSE,FALSE,NA,NA
"27","@Roy_Waisbrot It's literally just a black hand lol relax",FALSE,84,"Roy_Waisbrot",2020-04-15 11:57:24,FALSE,"1250374840734932993","1250392778879709185","311241724","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",2,FALSE,FALSE,NA,NA
"28","@ItsGravix Simpler times",FALSE,280,"ItsGravix",2020-04-15 03:05:20,FALSE,"1250258342276202501","1250258881743409152","2224039379","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",4,FALSE,FALSE,NA,NA
"29","@ArtemR Is it a compatibility problem? Trying to guarantee customers don’t use a different power brick or different… https://t.co/O25lJOlHCw",FALSE,65,"ArtemR",2020-04-14 21:24:40,TRUE,"1250169279963529217","1250173148382846976","18366419","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",4,FALSE,FALSE,NA,NA
"30","In case you haven’t already seen, Pixel 3A is on sale for $299 right now <U+0001F440>

Best deal in smartphones right now? Pro… https://t.co/DS5cqx7J4i",FALSE,9419,NA,2020-04-14 20:46:40,TRUE,NA,"1250163584962707456",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",521,FALSE,FALSE,NA,NA
"31","@Jaime__Collins I’m a fan of it so far, haven’t needed a wrist wrest",FALSE,12,"Jaime__Collins",2020-04-14 19:16:17,FALSE,"1250140169677701121","1250140841928200197","265617967","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",1,FALSE,FALSE,NA,NA
"32","@PirateSunil It's in the box",FALSE,56,"PirateSunil",2020-04-14 16:47:26,FALSE,"1250101568281534464","1250103382452383744","1211812441","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",0,FALSE,FALSE,NA,NA
"33","@itsanilpal Normal bokeh",FALSE,11,"itsanilpal",2020-04-14 16:26:27,FALSE,"1250096866504540160","1250098100745785344","1535579010","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",0,FALSE,FALSE,NA,NA
"34","@jfordrob Oh that was such a sad story <U+0001F62D>",FALSE,17,"jfordrob",2020-04-14 16:26:03,FALSE,"1250097877143224324","1250098001055567879","470972679","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",1,FALSE,FALSE,NA,NA
"35","@subiectiv I'd disagree on the 120Hz is useless point tho",FALSE,234,"subiectiv",2020-04-14 16:25:40,FALSE,"1250097034775924746","1250097903227592705","4868721","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",3,FALSE,FALSE,NA,NA
"36","@jfordrob CGT?",FALSE,25,"jfordrob",2020-04-14 16:16:38,FALSE,"1250094939423281155","1250095628228714497","470972679","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",0,FALSE,FALSE,NA,NA
"37","NEW VIDEO - OnePlus 8 Pro Review: Finally a Flagship! https://t.co/xxodSUAejL - RT! https://t.co/MKhecIdbpn",FALSE,11569,NA,2020-04-14 15:51:24,FALSE,NA,"1250089278593523713",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",1259,FALSE,FALSE,NA,NA
"38","<U+0001F440><U+0001F440>
<U+0001F440><U+0001F440>
<U+0001F440><U+0001F440>",FALSE,17910,NA,2020-04-14 15:42:33,FALSE,NA,"1250087053339090944",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",333,FALSE,FALSE,NA,NA
"39","OnePlus 8 Series live event starts here in 5 minutes: https://t.co/MdBSZx4o69 https://t.co/udKC9t1krz",FALSE,3972,NA,2020-04-14 14:55:03,FALSE,NA,"1250075099434307586",NA,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",240,FALSE,FALSE,NA,NA
"40","@Anthony5Leon Super cool style!",FALSE,250,"Anthony5Leon",2020-04-14 00:54:11,FALSE,"1249854859689459712","1249863486810750978","1139911207253680129","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MKBHD",3,FALSE,FALSE,NA,NA
"41","@levyandrewes This is the ""man on the street"" style video I want to do on the other side of this pandemic",FALSE,1648,"levyandrewes",2020-04-13 15:18:27,FALSE,"1249717803919253504","1249718599675252737","881248741914796032","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",10,FALSE,FALSE,NA,NA
"42","Here’s my OnePlus 8 Pro <U+0001F440>

Stay tuned for the full review: https://t.co/mcJj2dJUan https://t.co/HS4d2zeOMP",FALSE,29219,NA,2020-04-13 15:09:21,FALSE,NA,"1249716309627154432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MKBHD",2928,FALSE,FALSE,NA,NA
"43","@ostyn_heisss Yeah it’s very likely at least 2021",FALSE,19,"ostyn_heisss",2020-04-12 23:32:22,FALSE,"1249478518171451392","1249480508779741186","1047886492167819264","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",1,FALSE,FALSE,NA,NA
"44","@GioakG @Jessewelle This is the one Jesse",FALSE,259,"GioakG",2020-04-12 20:01:47,FALSE,"1249427344907014149","1249427513278976003","782546347","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",5,FALSE,FALSE,NA,NA
"45","@JonyIveParody https://t.co/jbU3fsgO0G",FALSE,1311,"JonyIveParody",2020-04-12 13:23:53,FALSE,"853598630393114624","1249327378389766145","1197619002","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",21,FALSE,FALSE,NA,NA
"46","Noticed a real uptick in people watching my 5G: Explained video and a lot of people asking about coronavirus…

Lemm… https://t.co/NsIAapZ7jZ",FALSE,21807,NA,2020-04-11 23:01:35,TRUE,NA,"1249110374646857730",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",2454,FALSE,FALSE,NA,NA
"47","@BrandonJHavard You’re going cold turnkey like absolute 0 sugar? I’m scared for you",FALSE,156,"BrandonJHavard",2020-04-11 22:05:23,FALSE,"1249095928029614080","1249096234079588354","324745996","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",0,FALSE,FALSE,NA,NA
"48","@IndianGadgetGuy Lemme finish moving first, then I'm on it",FALSE,32,"IndianGadgetGuy",2020-04-11 14:46:11,FALSE,"1248884297026531329","1248985704186753029","87187276","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",3,FALSE,FALSE,NA,NA
"49","@Canoopsy ....... Oh",FALSE,378,"Canoopsy",2020-04-11 03:50:58,FALSE,"1248746005824188416","1248820814549573634","327422302","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",4,FALSE,FALSE,NA,NA
"50","@cyberman3245 @replyall Yup",FALSE,7,"cyberman3245",2020-04-11 02:40:38,FALSE,"1248801678364676098","1248803113777184774","1103453169034690561","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",0,FALSE,FALSE,NA,NA
"51","@jacksonhvisuals ¯\_(<U+30C4>)_/¯",FALSE,65,"jacksonhvisuals",2020-04-11 02:09:31,FALSE,"1248754580982120448","1248795281455493121","814589679676686336","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",0,FALSE,FALSE,NA,NA
"52","Peace https://t.co/f8qEXyqduf",FALSE,29319,NA,2020-04-10 22:02:47,FALSE,NA,"1248733191025963008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MKBHD",639,FALSE,FALSE,NA,NA
"53","@tomas_villegas Hah people always get so caught up in the gear that I've spent over a decade accumulating (That 504… https://t.co/7RbjJk76wR",FALSE,188,"tomas_villegas",2020-04-10 15:52:32,TRUE,"1248639292051566592","1248640012524060672","913588410","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",7,FALSE,FALSE,NA,NA
"54","@BeltranNoe Vizio",FALSE,64,"BeltranNoe",2020-04-10 15:39:05,FALSE,"1248634904721702915","1248636630304542720","601066318","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",0,FALSE,FALSE,NA,NA
"55","@alextv True I should never upgrade my gear",FALSE,268,"alextv",2020-04-10 15:36:59,FALSE,"1248634601901305856","1248636099011973121","15402060","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",3,FALSE,FALSE,NA,NA
"56","@justaguyintech 100% on purpose hah",FALSE,133,"justaguyintech",2020-04-10 15:29:22,FALSE,"1248630950982008836","1248634183616008192","1108755612119248904","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",1,FALSE,FALSE,NA,NA
"57","@austinnotduncan Did you know if you order 5 Pro Display XDRs they come on a pallet? https://t.co/h7eTnd1Ld4",FALSE,4750,"austinnotduncan",2020-04-10 15:24:55,FALSE,"1248632242403864576","1248633062558175233","59023203","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",93,FALSE,FALSE,NA,NA
"58","@tamrazianallen1 Sometimes FedEx doesn't want you to have a computer",FALSE,680,"tamrazianallen1",2020-04-10 15:21:28,FALSE,"1248630941469126656","1248632193817219074","924455926551126016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",4,FALSE,FALSE,NA,NA
"59","@antonio842_ Let's just say I've closed a lot of rings on my Apple Watch",FALSE,551,"antonio842_",2020-04-10 15:21:11,FALSE,"1248631564126179330","1248632122396606464","991729250318172160","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",1,FALSE,FALSE,NA,NA
"60","@h_saggu In the first photo <U+0001F601>",FALSE,220,"h_saggu",2020-04-10 15:20:49,FALSE,"1248630787773169665","1248632031887712256","1613704753","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",1,FALSE,FALSE,NA,NA
"61","@HBJunkie7 Beyond excited and refreshed",FALSE,164,"HBJunkie7",2020-04-10 15:20:37,FALSE,"1248631508543340544","1248631979874156547","920205428474212352","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",0,FALSE,FALSE,NA,NA
"62","Studio is coming along pretty well. Feels like a return to videos is possible next week <U+0001F609> https://t.co/NJ7jzyIXrC",FALSE,21323,NA,2020-04-10 15:15:17,FALSE,NA,"1248630638078459904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",572,FALSE,FALSE,NA,NA
"63","@RafaelOchoa12 @Eminem Added",FALSE,44,"RafaelOchoa12",2020-04-09 20:34:59,FALSE,"1248347426219364353","1248348705310343168","519847420","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",1,FALSE,FALSE,NA,NA
"64","@LouieC5 https://t.co/qxTl1XgGLt",FALSE,77,"LouieC5",2020-04-09 20:33:53,FALSE,"1248346772398841856","1248348427848691714","25864697","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",3,FALSE,FALSE,NA,NA
"65","You after some quarantine jamz? Here's a Spotify playlist of every song used in MKBHD videos/intros <U+0001F44D><U+0001F3FE>… https://t.co/FRtrEyIyNj",FALSE,6326,NA,2020-04-09 20:26:42,TRUE,NA,"1248346619969503237",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",344,FALSE,FALSE,NA,NA
"66","@austinnotduncan @DetroitBORG Officer I was just trying to keep my car 6 feet away from your car https://t.co/kviXLCBAG1",FALSE,5263,"austinnotduncan",2020-04-08 21:42:38,FALSE,"1248000532184051712","1248003345471508481","59023203","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",498,FALSE,FALSE,NA,NA
"67","@austinnotduncan @DetroitBORG Social distancing lol",FALSE,993,"austinnotduncan",2020-04-08 20:58:33,FALSE,"1247991886733668352","1247992248068984835","59023203","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MKBHD",12,FALSE,FALSE,NA,NA
"68","@HeyMarkL I would",FALSE,46,"HeyMarkL",2020-04-07 23:49:11,FALSE,"1247666074788573184","1247672801047216129","37261200","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",1,FALSE,FALSE,NA,NA
"69","@superscientific https://t.co/btqUIVTeFt",FALSE,377,"superscientific",2020-04-07 23:29:39,FALSE,"1247664997490143233","1247667887587893261","17698709","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",5,FALSE,FALSE,NA,NA
"70","@LudacrisGinger I would cable manage, but this is a temporary setup before I bring the big dogs downstairs",FALSE,271,"LudacrisGinger",2020-04-07 23:28:59,FALSE,"1247655415128735746","1247667717605404677","397376894","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",2,FALSE,FALSE,NA,NA
"71","You ever go full minimal? https://t.co/W1F3rQBqnW",FALSE,29559,NA,2020-04-07 22:39:38,FALSE,NA,"1247655299508568064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MKBHD",892,FALSE,FALSE,NA,NA
"72","Xbox Controller: Dark Mode
PS5 Controller: Light mode

Hey Sony please make a dark version https://t.co/fq9xk4r86n",FALSE,28297,NA,2020-04-07 21:09:52,FALSE,NA,"1247632709394018305",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MKBHD",2674,FALSE,FALSE,NA,NA
"73","@PlayStation <U+0001F914>",FALSE,4849,"PlayStation",2020-04-07 21:06:47,FALSE,"1247615732961050625","1247631931946209280","10671602","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",64,FALSE,FALSE,NA,NA
"74","@Jon4Lakers @Tesla Been waiting so long for this - just got the update!",FALSE,425,"Jon4Lakers",2020-04-07 17:46:37,FALSE,"1247576330905899008","1247581561207349248","15661911","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MKBHD",6,FALSE,FALSE,NA,NA
"75","@itsalexclark @MichelleKhare @GabbieHanna Both are true at the same time hah",FALSE,30,"itsalexclark",2020-04-07 16:41:56,FALSE,"1247564653632221184","1247565283394453507","17373368","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MKBHD",1,FALSE,FALSE,NA,NA
"76","@SnazzyQ True, what was I thinking",FALSE,548,"SnazzyQ",2020-04-07 16:37:53,FALSE,"1247563525771255809","1247564261553029122","18055351","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",3,FALSE,FALSE,NA,NA
"77","@macmixing @ericlin They keynote is just the final Infinity Stone",FALSE,112,"MKBHD",2020-04-07 16:24:58,FALSE,"1247560897041702914","1247561011273621510","29873662","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",6,FALSE,FALSE,NA,NA
"78","@macmixing @ericlin They’re not building hype for the keynote though, they’re building hype for the sale.",FALSE,103,"macmixing",2020-04-07 16:24:31,FALSE,"1247560621953921025","1247560897041702914","315498416","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",4,FALSE,FALSE,NA,NA
"79","@MichelleKhare Michelle please train for 6 weeks like a PGA Pro <U+0001F605>",FALSE,27,"MKBHD",2020-04-07 16:23:10,FALSE,"1247559865557569536","1247560557592555525","29873662","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",1,FALSE,FALSE,NA,NA
"80","@macmixing @ericlin On the other hand… the hype",FALSE,86,"macmixing",2020-04-07 16:21:46,FALSE,"1247559553207521286","1247560207636537346","315498416","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",1,FALSE,FALSE,NA,NA
"81","@DetroitBORG @fodasequesaco Good eye haha",FALSE,177,"DetroitBORG",2020-04-07 16:21:29,FALSE,"1247558763185418243","1247560135532318721","18657572","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",2,FALSE,FALSE,NA,NA
"82","@MichelleKhare I’ve played for 16 years it’s really hard and there’s a unique satisfaction to finally get good at it",FALSE,18,"MichelleKhare",2020-04-07 16:20:25,FALSE,"1247559692273856512","1247559865557569536","2225667127","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",0,FALSE,FALSE,NA,NA
"83","OnePlus confirms the OnePlus 8 Pro has fast 30-watt wireless charging <U+0001F440>

That’s 1%-50% in half an hour

But it’s pr… https://t.co/Sq6rcGBvlN",FALSE,11868,NA,2020-04-07 15:33:07,TRUE,NA,"1247547962684776452",NA,"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",682,FALSE,FALSE,NA,NA
"84","@lakshya_noob @Lil_Lexi See you can never fully trust that lol",FALSE,12,"lakshya_noob",2020-04-07 12:10:00,FALSE,"1247430364949143552","1247496847511498755","4576977860","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",0,FALSE,FALSE,NA,NA
"85","@SnazzyQ What the actual hell",FALSE,1168,"SnazzyQ",2020-04-07 12:07:01,FALSE,"1247378208510455808","1247496096814899202","18055351","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",16,FALSE,FALSE,NA,NA
"86","@ZacksJerryRig March was one of the longest decades in a while",FALSE,3722,"ZacksJerryRig",2020-04-07 02:13:23,FALSE,"1247335775852621824","1247346702115274752","1720701343","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",148,FALSE,FALSE,NA,NA
"87","@Teslarati Any chance of in-car clip viewing? @elonmusk",FALSE,190,"Teslarati",2020-04-07 00:27:52,FALSE,"1247319160088137728","1247320149839024128","1308211178","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","MKBHD",6,FALSE,FALSE,NA,NA
"88","@samsheffer @greentheonly Saw this was coming. So ready for the update.",FALSE,65,"samsheffer",2020-04-06 23:41:40,FALSE,"1247307858951184385","1247308522024505344","25246881","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","MKBHD",1,FALSE,FALSE,NA,NA
